"","V1"
"1",1.0202
"2",-0.77806
"3",-0.44478
"4",-0.63363
"5",-1.6154
"6",0.21905
"7",-0.23991
"8",0.24304
"9",-0.18869
"10",-0.78474
"11",0.48073
"12",-1.1791
"13",-1.8975
"14",-1.1636
"15",-0.97166
"16",-1.6281
"17",-0.85407
"18",-0.85264
"19",0.13519
"20",-0.63129
"21",-0.52965
"22",-0.22508
"23",-0.33823
"24",-0.51827
"25",-1.0687
"26",-1.2385
"27",0.21046
"28",-0.51676
"29",-1.0903
"30",-0.83179
"31",-1.8624
"32",-1.2727
"33",-0.48582
"34",-0.12204
"35",-1.5419
"36",0.37704
"37",-0.46407
"38",0.54059
"39",1.135
"40",-0.25482
"41",1.4655
"42",-0.21241
"43",0.44804
"44",-0.23277
"45",0.44953
"46",0.39099
"47",0.3607
"48",2.2355
"49",0.39679
"50",-0.0052899
"51",-1.0185
"52",0.25704
"53",0.33654
"54",-1.2182
"55",-1.8752
"56",-0.88256
"57",0.048741
"58",0.46084
"59",1.4475
"60",0.96266
"61",1.1482
"62",0.36364
"63",-0.73734
"64",-0.78079
"65",-0.50968
"66",-1.0939
"67",0.33387
"68",-0.45285
"69",-0.75975
"70",0.10429
"71",0.75942
"72",-0.36123
"73",-0.020443
"74",-0.48496
"75",-0.20333
"76",-1.0559
"77",-0.66754
"78",-0.014608
"79",-0.12445
"80",0.56152
"81",-0.93352
"82",-1.6052
"83",0.54003
"84",2.0732
"85",-0.48868
"86",-0.22679
"87",0.78452
"88",1.133
"89",0.054916
"90",0.31241
"91",-0.93263
"92",-0.64667
"93",-0.083621
"94",0.3737
"95",-1.6135
"96",-0.30822
"97",1.963
"98",-0.35264
"99",-0.33722
"100",1.1175
"101",0.6105
"102",2.9478
"103",0.80583
"104",1.617
"105",3.0558
"106",1.1934
"107",-0.45978
"108",-1.122
"109",-0.06052
"110",1.6126
"111",1.3267
"112",1.1585
"113",0.83547
"114",0.68345
"115",2.0864
"116",2.6862
"117",-1.0343
"118",2.5462
"119",-0.059839
"120",0.70565
"121",-1.681
"122",0.90019
"123",0.26425
"124",-0.34815
"125",0.26938
"126",0.92871
"127",-0.11887
"128",-0.95693
"129",0.19613
"130",-0.34303
"131",-0.64446
"132",-0.4882
"133",0.61665
"134",1.3934
"135",-0.41215
"136",1.5782
"137",0.54245
"138",0.90745
"139",0.68747
"140",0.45138
"141",-1.0949
"142",-0.52007
"143",-0.64747
"144",-0.71665
"145",-0.095286
"146",1.538
"147",2.7364
"148",1.1475
"149",2.054
"150",0.63666
"151",-0.50665
"152",0.48621
"153",1.0522
"154",-1.4718
"155",-0.6341
"156",0.67924
"157",1.318
"158",-0.64354
"159",-1.2974
"160",0.60102
"161",-0.47808
"162",-0.13343
"163",-0.24314
"164",0.96239
"165",-0.19683
"166",-0.93683
"167",-0.068961
"168",-1.007
"169",-0.56588
"170",-0.81783
"171",-0.4634
"172",-0.88263
"173",-0.62206
"174",-1.1595
"175",-0.79547
"176",0.29149
"177",-0.64049
"178",0.13128
"179",0.11689
"180",-0.852
"181",-0.4897
"182",0.073757
"183",0.25233
"184",0.35532
"185",-0.11618
"186",0.27228
"187",0.30816
"188",-0.50999
"189",0.60991
"190",0.59989
"191",-0.085755
"192",-0.12432
"193",-0.608
"194",-1.9932
"195",0.01766
"196",-1.7065
"197",-0.73717
"198",-0.44126
"199",-0.13106
"200",-0.36012
"201",-0.44913
"202",-0.21701
"203",1.0085
"204",0.0088452
"205",0.67524
"206",0.82852
"207",0.40694
"208",-0.37765
"209",-1.0692
"210",-0.91031
"211",0.25683
"212",-1.2459
"213",-0.38199
"214",-0.87654
"215",-1.0611
"216",0.50976
"217",0.3017
"218",0.45376
"219",-1.2485
"220",0.83689
"221",1.591
"222",-0.039772
"223",1.768
"224",-0.10752
"225",1.3664
"226",1.3016
"227",2.4412
"228",-0.875
"229",-0.033104
"230",-0.79962
"231",0.40596
"232",-0.37968
"233",0.68954
"234",-0.58576
"235",0.21948
"236",0.36867
"237",-0.060668
"238",0.23178
"239",0.1448
"240",1.11
"241",-0.20408
"242",-0.082252
"243",-0.40357
"244",-0.96632
"245",-0.13303
"246",0.28611
"247",0.87547
"248",1.0606
"249",0.4662
"250",1.8372
"251",1.478
"252",-0.37788
"253",1.6614
"254",-0.47889
"255",-0.02222
"256",-0.40083
"257",0.47806
"258",0.65989
"259",0.84838
"260",1.1824
"261",-0.15544
"262",-0.57815
"263",-0.8648
"264",-0.37557
"265",-1.0661
"266",-0.48251
"267",-0.090834
"268",0.38971
"269",-0.015184
"270",0.050074
"271",1.4669
"272",-0.0029103
"273",-0.01409
"274",0.49463
"275",2.1756
"276",-0.018151
"277",-1.1579
